states_uts,district,year,rape,custodial_rape,custodial_gang_rape,custodial_other_rape,rape_other_than_custodial,rape_gang_rape,rape_others,attempt_to_commit_rape,kidnapping_abduction_total,kidnaping_abduction,kidnaping_abduction_in_order_to_murder,kidnapping_for_ransom,kidnapping_abduction_of_women_to_compel_her_for_marriage,kidnaping_abduction_others,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty_total,sexual_harassment,assault_on_women_with_intent_to_disrobe,voyeurism,stalking,others,insult_to_the_modesty_of_women_total,at_office_premises,in_places_related_to_work,in_public_transport_system,in_other_places,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_country,murder,attempt_to_commit_murder,culpable_homicide_not_amounting_to_murder,attempt_to_commit_culpable_homicide,grievous_hurt,hurt,acid_attack,attempt_to_acid_attack,deaths_caused_with_intent_to_cause_miscarriage,causing_miscarriage_without_consent_of_women,dacoity_total,dacoity_with_murder,other_dacoity,robbery,arson,humantrafficking,abetment_of_suicides_of_women,unnatural_offences,other_ipc_crimes,dowry_prohibition_act_1961,indecent_representation_of_women_p_act_1986,commission_of_sati_prevention_act_1987,protection_of_women_from_domestic_violence_act_2005,immoral_traffic_prevention_act,itp_under_section_5,itp_under_section_6,itp_under_section_7,itp_under_section_8,itp_under_other_sections,other_sll_crimes_against_women,total_crimes_against_women
Assam,Karimganj,2014,76,0,0,0,76,2,74,0,109,0,0,0,109,0,13,10,0,0,0,0,10,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,1,0,0,0,0,1,0,546
Assam,Kokrajhar,2014,45,0,0,0,45,0,45,0,79,0,0,0,79,0,3,47,0,0,0,0,47,0,0,0,0,0,71,1,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,2,0,0,0,0,2,0,248
Assam,Lakhimpur,2014,67,0,0,0,67,0,67,0,150,0,0,0,150,0,4,55,0,0,0,0,55,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,645
Assam,Morigaon,2014,81,0,0,0,81,0,81,14,174,0,0,0,174,0,7,328,0,0,0,0,328,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,10,0,false,0,2,0,0,0,0,2,0,965
Assam,N. C. Hills,2014,6,0,0,0,6,0,6,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,6,0,false,0,0,0,0,0,0,0,0,43
Assam,Nagaon,2014,187,0,0,0,187,10,177,78,295,0,0,0,295,0,22,350,174,0,0,0,176,0,0,0,0,0,1162,0,0,3,0,0,42,42,0,0,false,0,0,0,0,0,0,6,0,0,0,6,0,false,0,3,0,0,0,0,3,0,2154
Assam,Nalbari,2014,41,0,0,0,41,0,41,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,183
Assam,Sibsagar,2014,44,0,0,0,44,0,44,0,177,0,0,0,177,0,6,153,0,0,0,0,153,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,713
Assam,Sonitpur,2014,112,0,0,0,112,0,112,0,202,0,0,0,202,0,5,20,0,0,0,0,20,0,0,0,0,0,381,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,4,0,0,0,0,4,0,724
Assam,Tinsukia,2014,66,0,0,0,66,0,66,3,64,0,0,0,64,0,3,66,0,0,0,0,66,0,0,0,0,0,164,0,12,3,0,0,9,9,0,0,false,0,0,0,0,0,0,0,0,0,0,64,0,false,0,4,0,0,0,0,4,0,458
Assam,Udalguri,2014,34,0,0,0,34,0,34,1,62,0,1,0,61,0,9,35,0,0,0,0,35,0,0,0,0,0,81,0,12,0,0,0,0,0,0,0,false,0,0,0,0,0,0,1,0,0,0,0,0,false,0,0,0,0,0,0,0,0,235
Assam,Total,2014,1980,0,0,0,1980,23,1957,227,3895,0,1,3,3883,8,188,3099,458,399,0,0,2242,1,0,1,0,0,9626,1,67,23,2,0,173,173,0,0,false,0,3,0,3,116,11,30,0,0,45,92,0,false,1,29,6,1,2,0,20,0,19609
Bihar,Araria,2014,35,0,0,0,35,0,35,0,68,0,0,0,68,0,17,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,34,0,false,0,0,0,0,0,0,0,0,161
Bihar,Arwal,2014,6,0,0,0,6,0,6,0,18,0,0,0,18,0,11,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,40,0,false,0,0,0,0,0,0,0,0,79
