area_name,year,group_name,civilians_injured,civilians_killed,no_of_firings,policemen_injured,policemen_killed
Punjab,2002,Total Casualties under Police Firing & Lathi Charge,0,0,2,24,4
Rajasthan,2002,Total Casualties under Police Firing & Lathi Charge,46,12,26,188,1
Sikkim,2002,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Tamil Nadu,2002,Total Casualties under Police Firing & Lathi Charge,1,1,5,12,0
Tripura,2002,Total Casualties under Police Firing & Lathi Charge,39,23,36,24,42
Uttar Pradesh,2002,Total Casualties under Police Firing & Lathi Charge,34,69,108,90,31
Uttarakhand,2002,Total Casualties under Police Firing & Lathi Charge,0,2,3,0,0
West Bengal,2002,Total Casualties under Police Firing & Lathi Charge,51,24,73,158,3
Andaman & Nicobar Islands,2003,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Andhra Pradesh,2003,Total Casualties under Police Firing & Lathi Charge,69,95,213,47,6
Arunachal Pradesh,2003,Total Casualties under Police Firing & Lathi Charge,0,0,2,0,0
Assam,2003,Total Casualties under Police Firing & Lathi Charge,19,60,51,9,0
Bihar,2003,Total Casualties under Police Firing & Lathi Charge,5,8,39,14,3
Chandigarh,2003,Total Casualties under Police Firing & Lathi Charge,0,0,1,0,0
Chhattisgarh,2003,Total Casualties under Police Firing & Lathi Charge,2,7,30,20,2
Dadra & Nagar Haveli,2003,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Daman & Diu,2003,Total Casualties under Police Firing & Lathi Charge,5,1,1,9,0
Delhi,2003,Total Casualties under Police Firing & Lathi Charge,0,0,3,5,0
Goa,2003,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Gujarat,2003,Total Casualties under Police Firing & Lathi Charge,11,11,40,35,1
Haryana,2003,Total Casualties under Police Firing & Lathi Charge,3,6,17,15,2
Himachal Pradesh,2003,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Jammu & Kashmir,2003,Total Casualties under Police Firing & Lathi Charge,15,9,85,8,1
Jharkhand,2003,Total Casualties under Police Firing & Lathi Charge,12,14,45,16,4
Karnataka,2003,Total Casualties under Police Firing & Lathi Charge,2,4,11,110,0
Kerala,2003,Total Casualties under Police Firing & Lathi Charge,161,1,9,270,1
Lakshadweep,2003,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Madhya Pradesh,2003,Total Casualties under Police Firing & Lathi Charge,40,17,27,49,2
Maharashtra,2003,Total Casualties under Police Firing & Lathi Charge,38,51,61,89,6
Manipur,2003,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Meghalaya,2003,Total Casualties under Police Firing & Lathi Charge,0,6,20,0,1
Mizoram,2003,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Nagaland,2003,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Odisha,2003,Total Casualties under Police Firing & Lathi Charge,10,4,5,31,0
Puducherry,2003,Total Casualties under Police Firing & Lathi Charge,0,0,1,0,0
Punjab,2003,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Rajasthan,2003,Total Casualties under Police Firing & Lathi Charge,17,2,12,40,1
Sikkim,2003,Total Casualties under Police Firing & Lathi Charge,0,0,0,0,0
Tamil Nadu,2003,Total Casualties under Police Firing & Lathi Charge,2,4,11,14,0
Tripura,2003,Total Casualties under Police Firing & Lathi Charge,28,42,73,55,39
Uttar Pradesh,2003,Total Casualties under Police Firing & Lathi Charge,5,16,24,109,30
Uttarakhand,2003,Total Casualties under Police Firing & Lathi Charge,1,9,6,1,0
West Bengal,2003,Total Casualties under Police Firing & Lathi Charge,32,32,47,134,1
