state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
MANIPUR,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,CUSTODIAL RAPE,0,0,0,0,1,0,0,0,0,0,1,0,1
RAJASTHAN,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (STATES),CUSTODIAL RAPE,0,0,0,0,1,0,0,0,0,0,1,0,1
A & N ISLANDS,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),CUSTODIAL RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (ALL-INDIA),CUSTODIAL RAPE,0,0,0,0,1,0,0,0,0,0,1,0,1
ANDHRA PRADESH,OTHER RAPE,81,0,993,77,347,31,111,16,8,0,1540,124,1664
ARUNACHAL PRADESH,OTHER RAPE,2,0,41,0,4,0,0,0,0,0,47,0,47
ASSAM,OTHER RAPE,58,0,746,0,642,2,178,0,0,0,1624,2,1626
BIHAR,OTHER RAPE,31,0,829,0,416,0,49,0,2,0,1327,0,1327
CHHATTISGARH,OTHER RAPE,0,0,115,19,505,0,575,0,0,0,1195,19,1214
GOA,OTHER RAPE,2,0,42,3,9,0,4,0,1,0,58,3,61
GUJARAT,OTHER RAPE,23,0,406,5,163,11,34,3,2,0,628,19,647
HARYANA,OTHER RAPE,44,1,569,16,234,20,46,4,5,1,898,42,940
