state_ut,district,year,murder,rape,kidnapping_abduction,dacoity,robbery,arson,hurt,protection_of_civil_rights_pcr_act,prevention_of_atrocities_poa_act,other_crimes_against_sts
Gujarat,KHEDA NORTH,2013,0,2,0,0,0,0,0,0,0,0
Gujarat,KUTCH (EAST(G)),2013,0,0,1,0,0,0,0,0,0,1
Gujarat,KUTCH (WEST-BHUJ),2013,0,0,0,0,0,0,0,0,1,1
Gujarat,MEHSANA,2013,0,3,0,0,0,0,3,0,0,0
Gujarat,NARMADA,2013,0,1,0,0,0,0,1,0,1,0
Gujarat,NAVSARI,2013,0,3,2,0,0,0,0,0,0,11
Gujarat,PALANPUR,2013,0,2,3,1,0,0,9,0,22,1
Gujarat,PANCHMAHAL,2013,1,3,0,0,0,0,3,0,0,0
Gujarat,PATAN,2013,0,1,0,0,0,0,0,0,0,4
Gujarat,PORBANDAR,2013,0,0,0,0,0,0,0,0,0,0
Gujarat,RAJKOT COMMR.,2013,0,1,0,0,0,1,1,0,0,0
Gujarat,RAJKOT RURAL,2013,0,2,2,0,0,0,0,0,0,1
Gujarat,SURAT COMMR.,2013,0,1,0,0,0,0,0,0,9,0
Gujarat,SURAT RURAL,2013,2,2,0,0,0,0,3,0,1,7
Gujarat,SURENDRANAGAR,2013,0,0,0,0,0,0,0,0,0,4
Gujarat,TAPI,2013,0,0,1,0,0,0,2,0,0,0
Gujarat,VADODARA COMMR.,2013,0,2,2,0,0,0,0,0,0,4
Gujarat,VADODARA RURAL,2013,1,1,0,0,0,0,2,0,2,7
Gujarat,VALSAD,2013,0,1,0,0,0,0,1,0,0,4
Gujarat,W.RLY AHMEDABAD,2013,0,0,0,0,0,0,0,0,0,0
Gujarat,W.RLY VADODARA,2013,0,0,0,0,0,0,0,0,0,0
Gujarat,ZZ TOTAL,2013,8,34,22,1,0,1,36,0,58,64
Haryana,AMBALA RURAL,2013,0,0,0,0,0,0,0,0,0,0
Haryana,AMBALA URBAN,2013,0,0,0,0,0,0,0,0,0,0
Haryana,BHIWANI,2013,0,0,0,0,0,0,0,0,0,0
Haryana,FARIDABAD,2013,0,0,0,0,0,0,0,0,0,0
Haryana,FATEHABAD,2013,0,0,0,0,0,0,0,0,0,0
Haryana,GRP,2013,0,0,0,0,0,0,0,0,0,0
Haryana,GURGAON,2013,0,0,0,0,0,0,0,0,0,0
Haryana,HISSAR,2013,0,0,0,0,0,0,0,0,0,0
Haryana,I&P HARYANA,2013,0,0,0,0,0,0,0,0,0,0
Haryana,JHAJJAR,2013,0,0,0,0,0,0,0,0,0,0
Haryana,JIND,2013,0,0,0,0,0,0,0,0,0,0
Haryana,KAITHAL,2013,0,0,0,0,0,0,0,0,0,0
Haryana,KARNAL,2013,0,0,0,0,0,0,0,0,0,0
Haryana,KURUKSHETRA,2013,0,0,0,0,0,0,0,0,0,0
Haryana,MAHENDRAGARH,2013,0,0,0,0,0,0,0,0,0,0
Haryana,MEWAT,2013,0,0,0,0,0,0,0,0,0,0
Haryana,PALWAL,2013,0,0,0,0,0,0,0,0,0,0
Haryana,PANCHKULA,2013,0,0,0,0,0,0,0,0,0,0
Haryana,PANIPAT,2013,0,0,0,0,0,0,0,0,0,0
Haryana,REWARI,2013,0,0,0,0,0,0,0,0,0,0
Haryana,ROHTAK,2013,0,0,0,0,0,0,0,0,0,0
Haryana,SIRSA,2013,0,0,0,0,0,0,0,0,0,0
Haryana,SONIPAT,2013,0,0,0,0,0,0,0,0,0,0
Haryana,YAMUNANAGAR,2013,0,0,0,0,0,0,0,0,0,0
Haryana,ZZ TOTAL,2013,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,BADDIPOLICEDIST,2013,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,BILASPUR,2013,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,CHAMBA,2013,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,CID,2013,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,G.R.P.,2013,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,HAMIRPUR,2013,0,0,0,0,0,0,0,0,0,0
