state_ut,year,residential_premises_dacoity,residential_premises_robbery,residential_premises_burglary,residential_premises_theft,highways_dacoity,highways_robbery,highways_burglary,highways_theft,river_and_sea_dacoity,river_and_sea_robbery,river_and_sea_burglary,river_and_sea_theft,railways_dacoity,railways_robbery,railways_burglary,railways_theft,banks_dacoity,banks_robbery,banks_burglary,banks_theft,commercial_establishments_dacoity,commercial_establishments_robbery,commercial_establishments_burglary,commercial_establishments_theft,other_places_dacoity,other_places_robbery,other_places_burglary,other_places_theft,total_dacoity,total_robbery,total_burglary,total_theft
MADHYA PRADESH,2003,41,105,9507,8347,27,234,36,509,0,4,0,21,2,45,17,1421,0,3,14,8,27,50,1020,1274,56,1137,2290,8842,153,1578,12884,20422
MAHARASHTRA,2003,155,376,9234,7027,59,227,0,483,0,2,0,8,2,50,3,2743,2,10,96,44,27,197,2538,5545,269,1234,2021,21248,514,2096,13892,37098
MANIPUR,2003,0,2,36,52,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,2,4,12,189,3,6,68,252
MEGHALAYA,2003,23,33,84,158,28,44,0,4,0,0,0,0,0,0,0,0,1,0,0,0,4,13,7,1,27,43,69,197,83,133,160,360
MIZORAM,2003,1,2,275,617,4,17,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,145,351,0,2,66,330,5,21,487,1303
NAGALAND,2003,8,51,42,131,11,12,0,14,0,0,0,0,0,8,0,0,0,0,0,0,0,10,19,19,0,11,34,57,19,92,95,221
ODISHA,2003,74,212,1845,1958,21,163,0,26,0,0,0,0,1,26,0,477,2,4,14,0,15,106,411,346,65,364,691,2552,178,875,2961,5359
PUNJAB,2003,5,11,1085,772,0,7,1,31,0,0,0,0,0,2,0,26,1,7,30,2,0,9,442,432,24,72,536,1935,30,108,2094,3198
RAJASTHAN,2003,9,24,3385,2283,6,71,0,106,0,0,0,0,6,8,0,535,0,0,0,0,1,41,1529,605,14,511,1158,12927,36,655,6072,16456
SIKKIM,2003,1,0,37,32,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,15,0,0,3,17,2,3,48,65
TAMIL NADU,2003,25,165,3268,5555,20,49,4,50,0,1,0,2,2,15,0,224,1,3,15,1,5,25,530,2154,42,256,1032,10227,95,514,4849,18213
