area_name,year,group_name,sub_group_name,cases_acquitted_or_discharged,cases_charge_sheets_were_not_laid_but_final_report_submitted,cases_chargesheeted,cases_compounded_or_withdrawn,cases_convicted,cases_declared_false_on_account_of_mistake_of_fact_or_of_law,cases_investigated_chargesheets_fr_submitted,cases_not_investigated_or_in_which_investigation_was_refused,cases_pending_investigation_at_year_end,cases_pending_investigation_from_previous_year,cases_pending_trial_at_year_end,cases_pending_trial_from_the_previous_year,cases_reported,cases_sent_for_trial,cases_trials_completed,cases_withdrawn_by_the_govt,cases_withdrawn_by_the_govt_during_investigation,total_cases_for_trial
Tamil Nadu,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2008,Importation of Girls,07. Importation of Girls,11,11,5,0,1,0,16,0,16,27,20,27,5,5,12,0,0,32
Andaman & Nicobar Islands,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Arunachal Pradesh,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2009,Importation of Girls,07. Importation of Girls,0,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,0,2
Bihar,2009,Importation of Girls,07. Importation of Girls,2,0,23,0,4,5,23,0,33,30,227,210,31,23,6,0,0,233
Chandigarh,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Goa,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2009,Importation of Girls,07. Importation of Girls,2,3,7,0,2,0,10,0,4,8,10,7,6,7,4,0,0,14
Karnataka,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0
Kerala,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2009,Importation of Girls,07. Importation of Girls,0,0,1,0,0,0,1,0,0,0,3,2,1,1,0,0,0,3
Maharashtra,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2009,Importation of Girls,07. Importation of Girls,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1
Mizoram,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,1,0,0,0,0,12,12,1,0,0,0,0,12
Puducherry,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Sikkim,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2009,Importation of Girls,07. Importation of Girls,11,2,9,0,0,0,11,0,10,16,18,20,5,9,11,0,0,29
Andaman & Nicobar Islands,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Arunachal Pradesh,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2
Bihar,2010,Importation of Girls,07. Importation of Girls,5,1,9,0,1,0,10,0,31,33,230,227,8,9,6,0,0,236
Chandigarh,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2010,Importation of Girls,07. Importation of Girls,0,0,2,0,0,0,2,0,0,0,2,0,2,2,0,0,0,2
Dadra & Nagar Haveli,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Goa,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2010,Importation of Girls,07. Importation of Girls,1,2,3,0,3,0,5,0,7,4,9,10,8,3,4,0,0,13
Karnataka,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
Kerala,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2010,Importation of Girls,07. Importation of Girls,1,0,5,0,0,0,5,0,0,0,7,3,5,5,1,0,0,8
Maharashtra,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2010,Importation of Girls,07. Importation of Girls,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Mizoram,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2010,Importation of Girls,07. Importation of Girls,0,0,2,0,0,0,2,0,3,0,14,12,5,2,0,0,0,14
Puducherry,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Sikkim,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2010,Importation of Girls,07. Importation of Girls,8,0,8,0,0,0,8,0,10,10,18,18,8,8,8,0,0,26
Andaman & Nicobar Islands,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0
Andhra Pradesh,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,240,0,1351,0,1092,5,1351,0,33,57,407,388,1332,1351,1332,0,0
Arunachal Pradesh,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Assam,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,3,7,5,0,2,0,12,0,16,22,19,19,6,5,5,0,0
Bihar,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,10,0,28,0,2,1,28,0,9,9,70,54,29,28,12,0,0
Chandigarh,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,3,0,0,0,3,0,1,1,22,19,3,3,0,0,0
Chhattisgarh,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,2,0,11,0,4,0,11,0,1,0,19,14,12,11,6,0,0
Dadra & Nagar Haveli,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,3,0,0,0,3,0,0,0,3,0,3,3,0,0,0
Delhi,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,3,0,96,0,44,0,96,0,78,79,665,616,95,96,47,0,0
Goa,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,2,0,28,0,64,0,28,0,0,0,24,62,28,28,66,0,0
Gujarat,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,2,0,68,0,7,0,68,0,0,7,177,118,61,68,9,0,0
Haryana,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,8,0,21,0,1,0,21,0,2,2,42,30,21,21,9,0,0
Himachal Pradesh,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,1,0,0,0,1,0,1,1,2,1,1,1,0,0,0
Jammu & Kashmir,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,1,2,0,0,2,3,0,2,0,9,8,7,2,1,0,0
Jharkhand,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,2,1,2,0,1,0,3,0,2,2,8,9,3,2,3,0,0
Karnataka,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,137,1,1359,1,1255,0,1360,0,8,12,674,708,1356,1359,1392,0,0
Kerala,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,61,0,130,0,24,0,130,0,25,23,276,231,132,130,85,0,0
Lakshadweep,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,15,0,14,0,17,0,14,0,1,0,52,70,15,14,32,0,0
Maharashtra,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,33,0,232,1,55,0,232,0,471,470,2071,1928,233,232,88,0,0
Manipur,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,4,0,7,0,4,0,0,0,0,3,4,4,7,0,0
Meghalaya,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0
Mizoram,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,2,0,4,0,2,0,0,0,0,2,2,2,4,0,0
Nagaland,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0
Odisha,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,10,0,26,0,3,0,26,0,9,11,68,55,24,26,13,0,0
Puducherry,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,39,0,43,0,39,0,0,0,5,9,39,39,43,0,0
Punjab,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,2,4,18,0,2,1,22,0,22,13,43,29,32,18,4,0,0
Rajasthan,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,16,0,68,0,32,0,68,0,0,0,325,305,68,68,48,0,0
Sikkim,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,22,0,5231,2,5056,0,5231,0,2,1,459,308,5232,5231,5078,0,0
Tripura,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,5,0,23,0,39,0,23,0,4,1,103,124,26,23,44,0,0
Uttarakhand,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0
West Bengal,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,2,0,51,0,0,0,51,0,55,75,110,61,31,51,2,0,0
Andaman & Nicobar Islands,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0
Andhra Pradesh,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,133,0,853,0,629,2,853,0,49,33,498,407,871,853,762,0,0
Arunachal Pradesh,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Assam,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,6,4,8,1,1,0,12,0,28,16,19,19,24,8,7,0,0
Bihar,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,12,0,7,0,2,0,7,0,12,9,74,81,10,7,14,0,0
Chandigarh,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,4,0,0,0,4,0,0,1,26,22,3,4,0,0,0
Chhattisgarh,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,4,0,12,0,2,0,12,0,1,1,25,19,12,12,6,0,0
Dadra & Nagar Haveli,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,2,0,3,0,0,0,3,0,0,0,4,3,3,3,2,0,0
Delhi,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,27,1,64,0,34,0,65,0,82,78,668,665,69,64,61,0,0
Goa,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,6,0,25,0,28,0,25,0,0,0,15,24,25,25,34,0,0
Gujarat,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,0,54,0,0,0,54,0,3,0,230,177,57,54,1,0,0
Haryana,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,6,0,31,0,1,0,31,0,3,2,66,42,32,31,7,0,0
Himachal Pradesh,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,2,1,0,0,2,0,1,1,3,2,2,2,0,0,0
Jammu & Kashmir,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,4,0,0,0,4,0,1,2,13,9,3,4,0,0,0
Jharkhand,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,0,1,0,0,0,1,0,3,1,14,14,3,1,1,0,0
Karnataka,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,129,0,1381,2,1212,0,1381,0,15,8,712,674,1388,1381,1341,0,0
Kerala,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,21,1,126,4,38,0,127,0,30,25,339,276,132,126,59,0,0
Lakshadweep,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,15,0,6,0,15,0,0,1,61,52,14,15,6,0,0
Maharashtra,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,41,0,151,4,35,0,151,0,502,471,2142,2071,182,151,76,0,0
Manipur,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,6,0,6,0,6,0,0,0,0,0,6,6,6,0,0
Meghalaya,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,1,0,0,0,0,1,0,0,1,1,2,0,0,1,0,0
Mizoram,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,3,0,0,0,3,0,1,0,3,1,4,3,0,1,0
Odisha,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,12,0,18,0,3,0,18,0,15,9,71,68,24,18,15,0,0
Puducherry,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,2,0,27,0,27,0,27,0,0,0,3,5,27,27,29,0,0
Punjab,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,8,1,33,0,1,2,34,0,24,22,67,43,38,33,9,0,0
Rajasthan,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,23,0,54,0,18,0,54,0,1,0,338,325,55,54,41,0,0
Sikkim,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,23,1,3508,3,3464,1,3509,0,13,2,477,459,3530,3508,3487,0,9
Tripura,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,8,0,45,0,20,0,45,0,1,4,120,103,42,45,28,0,0
Uttarakhand,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,3,2,18,0,5,0,20,0,77,55,120,110,42,18,8,0,0
Andaman & Nicobar Islands,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0
Andhra Pradesh,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,163,0,331,4,111,0,331,0,67,49,551,498,349,331,274,0,0
Arunachal Pradesh,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Assam,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,3,3,13,0,1,0,16,0,34,28,28,19,22,13,4,0,0
Bihar,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,5,0,7,0,3,0,7,0,14,12,73,74,9,7,8,0,0
Chandigarh,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,2,0,0,0,2,0,2,0,28,26,4,2,0,0,0
Chhattisgarh,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,5,0,8,0,0,0,8,0,0,1,28,25,7,8,5,0,0
Dadra & Nagar Haveli,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,2,0,0,0,2,0,0,0,2,0,2,2,0,0,0
Daman & Diu,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,22,0,52,0,40,0,52,0,76,82,658,668,46,52,62,0,0
Goa,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,0,24,0,24,0,24,0,1,0,14,15,25,24,25,0,0
Gujarat,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,5,0,77,0,0,0,77,0,0,3,302,230,74,77,5,0,0
Haryana,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,2,1,59,0,0,0,60,0,0,3,123,66,57,59,2,0,0
Himachal Pradesh,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,6,0,0,0,6,0,0,1,9,3,5,6,0,0,0
Jammu & Kashmir,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,0,1,0,0,0,1,0,2,1,13,13,2,1,1,0,0
Jharkhand,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,0,7,0,1,0,7,0,2,3,19,14,6,7,2,0,0
Karnataka,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,75,3,1350,2,1215,0,1353,1,22,15,770,712,1361,1350,1290,0,0
Kerala,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,21,4,149,6,84,0,153,1,35,30,377,339,159,149,105,0,0
Lakshadweep,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,4,0,33,0,11,0,33,0,0,0,76,58,33,33,15,0,0
Maharashtra,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,73,1,177,1,19,0,178,0,503,502,2226,2142,179,177,92,0,0
Manipur,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
Mizoram,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,2,1,3,3,1,0,0,0,0
Odisha,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,15,0,17,0,5,0,17,0,9,15,68,71,11,17,20,0,0
Puducherry,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,0,13,0,11,0,13,0,0,0,4,3,13,13,12,0,0
Punjab,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,16,0,46,0,3,0,46,0,32,24,94,67,54,46,19,0,0
Rajasthan,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,20,0,51,0,17,0,51,0,1,1,352,338,51,51,37,0,0
Sikkim,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Tamil Nadu,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,152,2,2609,0,2408,0,2611,0,240,12,526,477,2839,2609,2560,0,0
Tripura,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,10,1,46,0,32,0,47,0,1,1,124,120,47,46,42,0,0
Uttarakhand,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,26,1,110,0,72,0,111,0,118,77,132,120,152,110,98,0,0
Andaman & Nicobar Islands,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0
Andhra Pradesh,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,183,0,391,0,106,1,391,0,80,67,653,551,405,391,289,0,0
Arunachal Pradesh,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
