state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
Puducherry,"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Total (All-India),"Commission of Sati (P) Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"Copyright Act, 1957",2,0,439,6,334,3,82,0,3,0,860,9,869
Arunachal Pradesh,"Copyright Act, 1957",0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"Copyright Act, 1957",0,0,0,0,8,0,0,0,0,0,8,0,8
Bihar,"Copyright Act, 1957",0,0,10,0,16,0,3,0,0,0,29,0,29
Chhattisgarh,"Copyright Act, 1957",0,0,4,0,10,0,1,0,0,0,15,0,15
Goa,"Copyright Act, 1957",0,0,3,0,7,0,0,0,0,0,10,0,10
Gujarat,"Copyright Act, 1957",0,0,227,0,192,0,24,0,0,0,443,0,443
Haryana,"Copyright Act, 1957",0,0,50,0,49,0,15,0,0,0,114,0,114
Himachal Pradesh,"Copyright Act, 1957",0,0,2,0,2,0,0,0,0,0,4,0,4
Jammu & Kashmir,"Copyright Act, 1957",0,0,3,0,1,0,0,0,0,0,4,0,4
Jharkhand,"Copyright Act, 1957",0,0,15,0,11,0,2,0,0,0,28,0,28
Karnataka,"Copyright Act, 1957",0,0,187,4,161,4,46,1,1,0,395,9,404
Kerala,"Copyright Act, 1957",0,0,62,0,66,0,18,0,1,0,147,0,147
Madhya Pradesh,"Copyright Act, 1957",1,0,50,0,47,0,12,0,1,0,111,0,111
Maharashtra,"Copyright Act, 1957",2,0,281,0,236,1,58,0,4,0,581,1,582
Manipur,"Copyright Act, 1957",0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,"Copyright Act, 1957",0,0,1,0,2,0,0,0,0,0,3,0,3
Mizoram,"Copyright Act, 1957",0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,"Copyright Act, 1957",0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,"Copyright Act, 1957",0,0,0,0,8,0,5,0,0,0,13,0,13
Punjab,"Copyright Act, 1957",0,0,120,42,119,4,30,0,0,0,269,46,315
Rajasthan,"Copyright Act, 1957",6,0,159,7,142,2,15,1,0,1,322,11,333
Sikkim,"Copyright Act, 1957",0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,"Copyright Act, 1957",10,0,1324,4,1142,7,296,0,4,0,2776,11,2787
Tripura,"Copyright Act, 1957",0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,"Copyright Act, 1957",1,0,176,0,116,0,19,0,0,0,312,0,312
Uttarakhand,"Copyright Act, 1957",0,0,0,0,7,0,0,0,0,0,7,0,7
West Bengal,"Copyright Act, 1957",1,0,167,0,198,0,77,0,9,0,452,0,452
