state_ut,district,year,murder,rape,kidnapping_and_abduction,dacoity,robbery,arson,hurt,protection_of_civil_rights_pcr_act,prevention_of_atrocities_poa_act,other_crimes_against_scs
Haryana,HISSAR,2013,1,6,2,0,0,0,0,0,4,13
Haryana,I&P HARYANA,2013,0,0,0,0,0,0,0,0,0,0
Haryana,JHAJJAR,2013,0,1,3,0,0,0,0,0,0,12
Haryana,JIND,2013,1,4,1,0,1,1,2,0,1,10
Haryana,KAITHAL,2013,0,5,2,1,0,0,1,0,0,6
Haryana,KARNAL,2013,1,11,4,0,0,1,1,0,1,33
Haryana,KURUKSHETRA,2013,2,2,2,0,0,0,0,0,0,10
Haryana,MAHENDRAGARH,2013,5,6,1,0,0,0,2,0,1,19
Haryana,MEWAT,2013,0,2,0,0,1,0,0,0,0,8
Haryana,PALWAL,2013,1,8,0,0,0,0,2,0,0,14
Haryana,PANCHKULA,2013,0,2,0,0,0,0,0,0,0,0
Haryana,PANIPAT,2013,1,2,0,0,0,0,0,0,1,3
Haryana,REWARI,2013,1,11,2,0,0,0,0,0,0,25
Haryana,ROHTAK,2013,4,10,5,0,0,0,0,0,0,9
Haryana,SIRSA,2013,0,12,2,0,0,0,0,0,2,20
Haryana,SONIPAT,2013,0,3,0,0,0,0,0,0,0,2
Haryana,YAMUNANAGAR,2013,0,5,1,0,0,0,0,0,0,7
Haryana,TOTAL,2013,22,131,37,1,2,2,9,0,14,275
Himachal Pradesh,BADDIPOLICEDIST,2013,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,BILASPUR,2013,0,1,0,0,0,0,0,2,5,5
Himachal Pradesh,CHAMBA,2013,0,1,0,0,0,0,0,0,0,0
Himachal Pradesh,CID,2013,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,G.R.P.,2013,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,HAMIRPUR,2013,0,0,0,0,0,0,0,0,13,13
Himachal Pradesh,KANGRA,2013,0,0,0,0,0,0,0,0,15,0
Himachal Pradesh,KINNAUR,2013,0,0,0,0,0,0,0,2,0,0
Himachal Pradesh,KULLU,2013,0,0,0,0,0,0,0,0,5,0
Himachal Pradesh,LAHAUL-SPITI,2013,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,MANDI,2013,0,2,0,0,0,0,0,0,11,11
Himachal Pradesh,SHIMLA,2013,0,3,0,0,0,0,0,0,15,0
Himachal Pradesh,SIRMAUR,2013,0,6,0,0,0,0,0,0,5,5
Himachal Pradesh,SOLAN,2013,0,0,0,0,0,0,0,0,3,0
Himachal Pradesh,UNA,2013,0,5,0,0,0,0,0,0,10,10
Himachal Pradesh,TOTAL,2013,0,18,0,0,0,0,0,4,82,44
Jammu & Kashmir,ANANTNAG,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,AWANTIPORA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,BANDIPORA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,BARAMULLA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,BUDGAM,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,CRIME JAMMU,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,CRIME SRINAGAR,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,DODA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,GANDERBAL,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,HANDWARA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,JAMMU,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,KARGIL,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,KATHUA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,KISHTWAR,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,KULGAM,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,KUPWARA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,LEH,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,POONCH,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,PULWAMA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,RAILWAYS JAMMU,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,RAILWAYS KASHMIR,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,RAILWAYS KATRA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,RAJOURI,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,RAMBAN,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,REASI,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,SAMBA,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,SHOPIAN,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,SOPORE,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,SRINAGAR,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,UDHAMPUR,2013,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,TOTAL,2013,0,0,0,0,0,0,0,0,0,0
Jharkhand,BOKARO,2013,0,0,0,0,0,0,0,0,10,0
Jharkhand,CHAIBASA,2013,0,0,0,0,0,0,0,0,4,4
Jharkhand,CHATRA,2013,0,0,0,0,0,0,0,0,11,0
Jharkhand,DEOGHAR,2013,0,0,0,0,0,0,82,0,37,16
Jharkhand,DHANBAD,2013,0,0,0,0,0,1,10,0,65,54
Jharkhand,DHANBAD RLY.,2013,0,0,0,0,0,0,0,0,1,1
Jharkhand,DUMKA,2013,0,0,0,0,0,0,1,0,8,7
Jharkhand,GARHWA,2013,2,1,0,0,0,0,61,0,52,15
Jharkhand,GIRIDIH,2013,3,1,0,0,0,0,0,0,17,0
Jharkhand,GODDA,2013,0,0,0,0,0,0,0,0,18,0
Jharkhand,GUMLA,2013,0,1,3,0,0,0,0,0,2,0
Jharkhand,HAZARIBAGH,2013,0,2,0,0,0,0,12,0,35,22
Jharkhand,JAMSHEDPUR,2013,0,1,0,0,0,0,8,0,28,19
Jharkhand,JAMSHEDPUR RLY.,2013,0,0,0,0,0,0,0,0,0,0
Jharkhand,JAMTARA,2013,0,0,0,0,0,0,6,0,29,18
Jharkhand,KHUNTI,2013,0,0,0,0,0,0,0,0,0,0
Jharkhand,KODERMA,2013,0,0,0,0,0,0,30,0,72,42
Jharkhand,LATEHAR,2013,0,0,0,0,0,0,0,0,10,10
Jharkhand,LOHARDAGGA,2013,0,0,0,0,0,0,0,0,10,0
Jharkhand,PAKUR,2013,0,0,0,0,0,0,0,0,16,0
Jharkhand,PALAMU,2013,0,0,0,0,0,0,31,0,31,0
Jharkhand,RAMGARH,2013,0,0,0,0,0,0,10,0,18,4
Jharkhand,RANCHI,2013,0,0,0,0,0,0,4,0,3,0
Jharkhand,SAHEBGANJ,2013,1,0,1,0,0,0,11,0,0,2
Jharkhand,SARAIKELA,2013,0,0,0,0,0,0,2,0,2,0
Jharkhand,SIMDEGA,2013,0,0,0,0,0,0,0,0,0,0
Jharkhand,TOTAL,2013,6,6,4,0,0,1,268,0,479,214
Karnataka,BAGALKOT,2013,2,5,0,1,0,0,8,0,43,35
Karnataka,BANGALORE COMMR.,2013,2,2,0,0,0,0,10,1,128,3
Karnataka,BANGALORE RURAL,2013,3,6,2,0,0,0,37,0,70,22
Karnataka,BELGAUM,2013,1,4,0,0,0,0,0,0,50,0
Karnataka,BELLARY,2013,0,0,0,0,0,0,0,1,36,0
Karnataka,BIDAR,2013,1,1,0,0,0,0,0,1,22,0
Karnataka,BIJAPUR,2013,4,2,2,0,0,0,18,0,37,22
Karnataka,CBPURA,2013,1,2,0,0,0,0,0,0,53,48
Karnataka,CHAMARAJNAGAR,2013,0,0,0,0,0,0,0,0,14,20
Karnataka,CHICKMAGALUR,2013,1,4,0,1,0,0,11,0,41,24
Karnataka,CHITRADURGA,2013,1,2,1,0,0,1,11,7,29,11
Karnataka,DAKSHIN KANNADA,2013,0,3,0,0,0,0,0,0,31,1
Karnataka,DAVANAGERE,2013,1,2,0,0,0,0,10,0,36,20
Karnataka,DHARWAD COMMR.,2013,0,3,0,0,1,0,0,0,23,23
Karnataka,DHARWAD RURAL,2013,0,0,0,0,0,0,0,0,11,11
