area_name,year,ac01_no_of_cases_pending_investigation_from_previous_year,ac02_no_of_cases_registered_during_the_year,ac03_total_no_of_cases_for_investigation_during_the_year,ac04_no_of_cases_investigated_during_the_year,ac05_no_of_cases_not_investigatedor_in_which_investigation_was_dropped_due_to_any_reason_during_the_year,ac06_no_of_cases_transferred_to_local_police_during_the_year,ac07_no_of_cases_declared_false_mistake_of_fact_or_of_law_or_non_cognizable_or_civil_in_nature,ac08_no_of_cases_in_which_charge_sheets_were_laid_during_the_year,ac09_no_of_cases_pending_departmental_sanction_for_prosecution_during_the_year,ac10_no_of_cases_sent_up_for_trial_and_also_reported_for_departmental_action_during_the_year,ac11_no_of_cases_reported_for_regular_departmental_action_during_the_year,ac12_no_of_cases_reported_for_suitable_action_during_the_year,ac13_no_of_cases_in_which_charge_sheets_were_not_laid_but_final_report_submitted_during_the_year,ac14_no_of_cases_pending_investigation_at_the_end_of_the_year,ac15_no_of_cases_resulted_in_recoveries_or_seizures_during_the_year,ac16_value_of_property_recoveredseized_during_the_year_in_rs,ac17_percentage_of_cases_charge_sheeted_to_total_cases_investigated,ac18_no_of_cases_pending_trial_from_the_previous_year,ac19_no_of_cases_sent_up_for_trial_during_the_year,ac20_total_no_of_cases_for_trial_during_the_year,ac21_no_of_cases_withdrawn_or_other_wise_disposed_off_on_account_of_death_of_the_accused_during_the_year,ac22_no_of_cases_in_which_trials_were_completed_during_the_year,ac23_no_of_cases_convicted_during_the_year,ac24_no_of_cases_acquitted_or_discharged_during_the_year,ac25_no_of_cases_pending_trial_at_the_end_of_the_year,ac26_percentage_of_cases_convicted_to_cases_in_which_trials_were_completed_during_the_year,ac27_total_amount_of_fine_imposed_during_the_year_in_rs
Punjab,2001,343.0000,243.0000,586.0000,174.0000,0.0000,7.0000,0.0000,174.0000,100.0000,2.0000,0.0000,0.0000,0.0000,341.0000,0.0000,0.0000,0.0000,880.0000,174.0000,1054.0000,47.0000,133.0000,40.0000,93.0000,874.0000,0.0000,127600.0000
Andhra Pradesh,2006,232.0000,234.0000,466.0000,352.0000,4.0000,0.0000,0.0000,223.0000,32.0000,117.0000,18.0000,0.0000,108.0000,116.0000,227.0000,41949744.0000,0.0000,1099.0000,223.0000,1322.0000,8.0000,254.0000,148.0000,106.0000,1060.0000,0.0000,529050.0000
Madhya Pradesh,2001,401.0000,231.0000,632.0000,632.0000,0.0000,0.0000,0.0000,143.0000,229.0000,0.0000,0.0000,0.0000,26.0000,234.0000,28.0000,18035078.0000,0.0000,582.0000,143.0000,725.0000,7.0000,151.0000,52.0000,99.0000,567.0000,0.0000,5157162.0000
Haryana,2007,325.0000,229.0000,554.0000,386.0000,63.0000,0.0000,1.0000,245.0000,48.0000,119.0000,0.0000,0.0000,26.0000,275.0000,107.0000,371500.0000,0.0000,630.0000,245.0000,875.0000,6.0000,139.0000,34.0000,105.0000,730.0000,0.0000,200350.0000
Tamil Nadu,2007,216.0000,227.0000,443.0000,443.0000,0.0000,0.0000,0.0000,179.0000,45.0000,51.0000,161.0000,91.0000,118.0000,154.0000,39.0000,12677413.0000,0.0000,142.0000,179.0000,321.0000,12.0000,67.0000,34.0000,33.0000,242.0000,0.0000,379000.0000
Andhra Pradesh,2001,285.0000,226.0000,511.0000,209.0000,14.0000,1.0000,0.0000,150.0000,13.0000,1.0000,40.0000,0.0000,47.0000,302.0000,154.0000,439817.0000,0.0000,526.0000,150.0000,676.0000,5.0000,41.0000,21.0000,20.0000,630.0000,0.0000,121250.0000
Haryana,2008,275.0000,226.0000,501.0000,379.0000,50.0000,0.0000,0.0000,246.0000,60.0000,119.0000,0.0000,0.0000,33.0000,228.0000,107.0000,448600.0000,0.0000,730.0000,246.0000,976.0000,10.0000,195.0000,37.0000,158.0000,771.0000,0.0000,144750.0000
Gujarat,2010,175.0000,223.0000,398.0000,223.0000,0.0000,0.0000,22.0000,200.0000,50.0000,16.0000,16.0000,11.0000,4.0000,192.0000,217.0000,24529359.0000,0.0000,1107.0000,200.0000,1307.0000,6.0000,174.0000,45.0000,129.0000,1127.0000,0.0000,470000.0000
Kerala,2003,497.0000,210.0000,707.0000,707.0000,0.0000,2.0000,22.0000,106.0000,23.0000,4.0000,16.0000,0.0000,9.0000,4.0000,4.0000,0.0000,0.0000,274.0000,106.0000,380.0000,2.0000,56.0000,22.0000,34.0000,322.0000,0.0000,1144500.0000
Madhya Pradesh,2003,270.0000,210.0000,480.0000,480.0000,0.0000,0.0000,0.0000,175.0000,191.0000,0.0000,12.0000,0.0000,40.0000,265.0000,24.0000,16250661.0000,0.0000,634.0000,175.0000,809.0000,4.0000,105.0000,42.0000,59.0000,508.0000,0.0000,0.0000
