area_name,year,group_name,sub_group_name,ph_houses_provided_by_department,ph_houses_provided_on_leaserentgpra,ph_sanctioned_strength
Lakshadweep,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),1,1,2
Madhya Pradesh,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),364,119,914
Maharashtra,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),0,0,1128
Manipur,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),49,5,254
Meghalaya,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),45,67,112
Mizoram,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),54,24,166
Nagaland,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),120,646,133
Odisha,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),124,0,530
Puducherry,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),14,NULL,25
Punjab,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),47,NULL,652
Rajasthan,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),52,NULL,879
Sikkim,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),8,0,113
Tamil Nadu,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),345,NULL,1082
Tripura,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),79,0,334
Uttar Pradesh,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),1211,431,1642
Uttarakhand,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),67,NULL,164
West Bengal,2007,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),500,18,719
Andaman & Nicobar Islands,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),9,NULL,18
Andhra Pradesh,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),34,695,729
Arunachal Pradesh,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),80,16,107
Assam,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),18,0,538
Bihar,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),159,463,622
Chandigarh,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),17,0,17
Chhattisgarh,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),11,28,551
Dadra & Nagar Haveli,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,3,3
Daman & Diu,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,NULL,5
Delhi,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),236,NULL,469
Goa,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),11,6,60
Gujarat,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),130,28,451
Haryana,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),188,55,296
Himachal Pradesh,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),40,15,234
Jammu & Kashmir,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),156,45,801
Jharkhand,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),91,19,457
Karnataka,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),152,19,717
Kerala,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),90,23,433
Lakshadweep,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),1,1,2
Madhya Pradesh,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,NULL,914
Maharashtra,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),0,0,1152
Manipur,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),49,5,265
Meghalaya,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),34,70,131
Mizoram,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),59,0,173
Nagaland,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),160,811,133
Odisha,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),186,0,772
Puducherry,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),14,NULL,25
Punjab,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),47,NULL,665
Rajasthan,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),52,NULL,887
Sikkim,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),8,9,88
Tamil Nadu,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),347,0,1084
Tripura,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),79,NULL,366
Uttar Pradesh,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),1033,436,1469
Uttarakhand,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),78,NULL,181
West Bengal,2008,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),398,22,656
Andaman & Nicobar Islands,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),10,11,27
Andhra Pradesh,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),34,973,1007
Arunachal Pradesh,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),81,26,107
Assam,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),18,0,538
Bihar,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),159,481,640
Chandigarh,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),10,0,30
Chhattisgarh,2009,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),0,0,551
