state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
BIHAR,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",5296,6700,123,6032,5841,27732,33573,6,30505,3062,242,2820
CHHATTISGARH,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",90,574,0,91,573,1956,2529,0,2177,352,107,245
GOA,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",39,17,0,43,13,131,144,0,138,6,1,5
GUJARAT,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",297,2422,11,359,2349,19129,21478,42,20532,904,53,851
HARYANA,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",172,1130,0,157,1145,3071,4216,0,3407,809,110,699
HIMACHAL PRADESH,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",71,141,6,65,141,646,787,5,687,95,16,79
JAMMU & KASHMIR,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",13,961,0,13,961,7042,8003,26,7129,848,4,844
JHARKHAND,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",591,1368,0,635,1324,2031,3355,8,2534,813,240,573
KARNATAKA,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",447,1994,62,396,1983,3018,5001,38,3400,1563,59,1504
KERALA,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",198,395,7,191,395,2300,2695,0,2522,173,6,167
MADHYA PRADESH,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",101,2087,0,114,2074,6996,9070,28,7292,1750,470,1280
MAHARASHTRA,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",1353,2703,64,1537,2455,21160,23615,43,22234,1338,65,1273
MANIPUR,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",167,150,150,165,2,67,69,0,68,1,0,1
MEGHALAYA,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",355,94,18,377,54,330,384,0,373,11,0,11
MIZORAM,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",5,7,1,7,4,10,14,0,9,5,5,0
NAGALAND,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",43,29,2,19,51,21,72,0,23,49,41,8
ODISHA,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",210,1592,12,232,1558,4894,6452,0,5669,783,53,730
PUNJAB,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",1050,1068,91,1362,665,2468,3133,3,2728,402,90,312
RAJASTHAN,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",95,2194,0,86,2203,12844,15047,85,13308,1654,526,1128
SIKKIM,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",1,8,0,4,5,18,23,0,18,5,2,3
TAMIL NADU,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",2080,1962,121,2057,1864,3785,5649,0,4268,1381,169,1212
TRIPURA,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",56,144,15,8,177,160,337,0,267,70,7,63
UTTAR PRADESH,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",3827,23045,10546,5172,11154,24063,35217,446,29159,5612,2715,2897
UTTARAKHAND,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",68,266,4,51,279,1304,1583,0,1255,328,189,139
WEST BENGAL,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",1564,4376,507,1596,3837,14507,18344,58,16817,1469,62,1407
TOTAL (STATES),"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",23197,61251,13258,25920,45270,170328,215598,912,187622,27064,5504,21560
A & N ISLANDS,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",10,7,0,10,7,85,92,0,90,2,1,1
CHANDIGARH,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",35,71,0,14,92,101,193,0,140,53,33,20
D & N HAVELI,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",4,19,0,1,22,119,141,0,132,9,1,8
DAMAN & DIU,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",8,1,0,1,8,9,17,0,9,8,0,8
DELHI,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",228,653,75,237,569,3397,3966,0,3211,755,314,441
LAKSHADWEEP,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",8,18,0,4,22,136,158,0,145,13,5,8
TOTAL (UTs),"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",293,769,75,267,720,3847,4567,0,3727,840,354,486
TOTAL (ALL-INDIA),"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",23490,62020,13333,26187,45990,174175,220165,912,191349,27904,5858,22046
ANDHRA PRADESH,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,822,1764,0,786,1800,3403,5203,98,3785,1320,108,1212
ARUNACHAL PRADESH,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,47,49,22,40,34,503,537,9,498,30,7,23
ASSAM,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,2985,2689,1071,3265,1338,3553,4891,0,3475,1416,80,1336
BIHAR,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,2540,4639,32,3491,3656,11968,15624,6,14147,1471,92,1379
CHHATTISGARH,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,82,441,0,84,439,1624,2063,0,1775,288,89,199
GOA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,14,12,0,14,12,60,72,0,70,2,0,2
GUJARAT,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,256,1939,1,316,1878,13997,15875,41,15082,752,51,701
HARYANA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,101,660,0,56,705,1538,2243,0,1760,483,62,421
HIMACHAL PRADESH,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,53,131,6,49,129,415,544,5,461,78,16,62
JAMMU & KASHMIR,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,10,884,0,10,884,6711,7595,25,6791,779,2,777
JHARKHAND,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,279,1000,0,330,949,1207,2156,8,1576,572,162,410
KARNATAKA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,248,1035,42,231,1010,1769,2779,24,2176,579,44,535
KERALA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,108,253,3,106,252,1181,1433,0,1328,105,6,99
MADHYA PRADESH,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,77,1648,0,104,1621,5139,6760,11,5376,1373,383,990
MAHARASHTRA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,877,1775,37,959,1656,13245,14901,25,13984,892,32,860
MANIPUR,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,113,101,111,101,2,53,55,0,54,1,0,1
MEGHALAYA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,76,6,4,66,12,106,118,0,114,4,0,4
MIZORAM,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,0,3,0,0,3,0,3,0,1,2,2,0
NAGALAND,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,3,7,2,3,5,4,9,0,5,4,3,1
ODISHA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,148,1347,0,168,1327,4029,5356,0,4685,671,46,625
PUNJAB,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,619,731,72,868,410,1530,1940,3,1726,211,44,167
RAJASTHAN,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,64,1565,0,66,1563,9380,10943,44,9685,1214,370,844
SIKKIM,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,1,8,0,4,5,18,23,0,18,5,2,3
TAMIL NADU,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,1714,1557,99,1656,1516,2827,4343,0,3199,1144,119,1025
TRIPURA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,43,120,11,6,146,152,298,0,244,54,7,47
UTTAR PRADESH,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,3247,20565,9599,4389,9824,16959,26783,415,21929,4439,2155,2284
UTTARAKHAND,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,47,242,4,44,241,1047,1288,0,1026,262,152,110
WEST BENGAL,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,1308,3352,413,1253,2994,12461,15455,45,14294,1116,38,1078
TOTAL (STATES),KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,15882,48523,11529,18465,34411,114879,149290,759,129264,19267,4072,15195
A & N ISLANDS,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,1,7,0,1,7,67,74,0,72,2,1,1
CHANDIGARH,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,22,48,0,9,61,44,105,0,83,22,6,16
D & N HAVELI,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,2,11,0,1,12,50,62,0,54,8,1,7
DAMAN & DIU,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,8,0,0,0,8,4,12,0,6,6,0,6
DELHI,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,106,478,42,120,422,1753,2175,0,1675,500,190,310
LAKSHADWEEP,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,3,16,0,4,15,64,79,0,72,7,3,4
TOTAL (UTs),KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,142,560,42,135,525,1982,2507,0,1962,545,201,344
TOTAL (ALL-INDIA),KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,16024,49083,11571,18600,34936,116861,151797,759,131226,19812,4273,15539
ANDHRA PRADESH,KIDNAPPING AND ABDUCTION OF OTHERS,317,791,0,354,754,1774,2528,17,1938,573,50,523
ARUNACHAL PRADESH,KIDNAPPING AND ABDUCTION OF OTHERS,28,21,15,21,13,207,220,0,219,1,1,0
ASSAM,KIDNAPPING AND ABDUCTION OF OTHERS,809,510,410,685,224,1205,1429,0,1188,241,26,215
BIHAR,KIDNAPPING AND ABDUCTION OF OTHERS,2756,2061,91,2541,2185,15764,17949,0,16358,1591,150,1441
CHHATTISGARH,KIDNAPPING AND ABDUCTION OF OTHERS,8,133,0,7,134,332,466,0,402,64,18,46
GOA,KIDNAPPING AND ABDUCTION OF OTHERS,25,5,0,29,1,71,72,0,68,4,1,3
GUJARAT,KIDNAPPING AND ABDUCTION OF OTHERS,41,483,10,43,471,5132,5603,1,5450,152,2,150
HARYANA,KIDNAPPING AND ABDUCTION OF OTHERS,71,470,0,101,440,1533,1973,0,1647,326,48,278
HIMACHAL PRADESH,KIDNAPPING AND ABDUCTION OF OTHERS,18,10,0,16,12,231,243,0,226,17,0,17
JAMMU & KASHMIR,KIDNAPPING AND ABDUCTION OF OTHERS,3,77,0,3,77,331,408,1,338,69,2,67
JHARKHAND,KIDNAPPING AND ABDUCTION OF OTHERS,312,368,0,305,375,824,1199,0,958,241,78,163
KARNATAKA,KIDNAPPING AND ABDUCTION OF OTHERS,199,959,20,165,973,1249,2222,14,1224,984,15,969
KERALA,KIDNAPPING AND ABDUCTION OF OTHERS,90,142,4,85,143,1119,1262,0,1194,68,0,68
MADHYA PRADESH,KIDNAPPING AND ABDUCTION OF OTHERS,24,439,0,10,453,1857,2310,17,1916,377,87,290
MAHARASHTRA,KIDNAPPING AND ABDUCTION OF OTHERS,476,928,27,578,799,7915,8714,18,8250,446,33,413
MANIPUR,KIDNAPPING AND ABDUCTION OF OTHERS,54,49,39,64,0,14,14,0,14,0,0,0
MEGHALAYA,KIDNAPPING AND ABDUCTION OF OTHERS,279,88,14,311,42,224,266,0,259,7,0,7
MIZORAM,KIDNAPPING AND ABDUCTION OF OTHERS,5,4,1,7,1,10,11,0,8,3,3,0
NAGALAND,KIDNAPPING AND ABDUCTION OF OTHERS,40,22,0,16,46,17,63,0,18,45,38,7
ODISHA,KIDNAPPING AND ABDUCTION OF OTHERS,62,245,12,64,231,865,1096,0,984,112,7,105
PUNJAB,KIDNAPPING AND ABDUCTION OF OTHERS,431,337,19,494,255,938,1193,0,1002,191,46,145
RAJASTHAN,KIDNAPPING AND ABDUCTION OF OTHERS,31,629,0,20,640,3464,4104,41,3623,440,156,284
SIKKIM,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,KIDNAPPING AND ABDUCTION OF OTHERS,366,405,22,401,348,958,1306,0,1069,237,50,187
TRIPURA,KIDNAPPING AND ABDUCTION OF OTHERS,13,24,4,2,31,8,39,0,23,16,0,16
UTTAR PRADESH,KIDNAPPING AND ABDUCTION OF OTHERS,580,2480,947,783,1330,7104,8434,31,7230,1173,560,613
UTTARAKHAND,KIDNAPPING AND ABDUCTION OF OTHERS,21,24,0,7,38,257,295,0,229,66,37,29
WEST BENGAL,KIDNAPPING AND ABDUCTION OF OTHERS,256,1024,94,343,843,2046,2889,13,2523,353,24,329
TOTAL (STATES),KIDNAPPING AND ABDUCTION OF OTHERS,7315,12728,1729,7455,10859,55449,66308,153,58358,7797,1432,6365
A & N ISLANDS,KIDNAPPING AND ABDUCTION OF OTHERS,9,0,0,9,0,18,18,0,18,0,0,0
CHANDIGARH,KIDNAPPING AND ABDUCTION OF OTHERS,13,23,0,5,31,57,88,0,57,31,27,4
D & N HAVELI,KIDNAPPING AND ABDUCTION OF OTHERS,2,8,0,0,10,69,79,0,78,1,0,1
DAMAN & DIU,KIDNAPPING AND ABDUCTION OF OTHERS,0,1,0,1,0,5,5,0,3,2,0,2
DELHI,KIDNAPPING AND ABDUCTION OF OTHERS,122,175,33,117,147,1644,1791,0,1536,255,124,131
LAKSHADWEEP,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KIDNAPPING AND ABDUCTION OF OTHERS,5,2,0,0,7,72,79,0,73,6,2,4
TOTAL (UTs),KIDNAPPING AND ABDUCTION OF OTHERS,151,209,33,132,195,1865,2060,0,1765,295,153,142
TOTAL (ALL-INDIA),KIDNAPPING AND ABDUCTION OF OTHERS,7466,12937,1762,7587,11054,57314,68368,153,60123,8092,1585,6507
ANDHRA PRADESH,DACOITY (SECTION 395 TO 398 IPC),350,591,0,275,666,2157,2823,5,2364,454,28,426
ARUNACHAL PRADESH,DACOITY (SECTION 395 TO 398 IPC),45,29,16,22,36,869,905,0,898,7,0,7
ASSAM,DACOITY (SECTION 395 TO 398 IPC),2474,485,323,2302,334,4247,4581,0,4163,418,56,362
BIHAR,DACOITY (SECTION 395 TO 398 IPC),1617,2610,36,2459,1732,27657,29389,0,27816,1573,176,1397
CHHATTISGARH,DACOITY (SECTION 395 TO 398 IPC),108,161,0,100,169,1634,1803,288,1081,434,102,332
GOA,DACOITY (SECTION 395 TO 398 IPC),0,27,0,21,6,129,135,0,127,8,0,8
GUJARAT,DACOITY (SECTION 395 TO 398 IPC),244,1403,5,342,1300,15776,17076,54,16567,455,23,432
HARYANA,DACOITY (SECTION 395 TO 398 IPC),85,491,0,63,513,1140,1653,0,1140,513,149,364
HIMACHAL PRADESH,DACOITY (SECTION 395 TO 398 IPC),0,1,0,1,0,82,82,0,77,5,5,0
JAMMU & KASHMIR,DACOITY (SECTION 395 TO 398 IPC),0,23,0,0,23,388,411,5,366,40,0,40
JHARKHAND,DACOITY (SECTION 395 TO 398 IPC),718,586,0,803,501,3325,3826,0,3322,504,187,317
KARNATAKA,DACOITY (SECTION 395 TO 398 IPC),140,769,16,138,755,3577,4332,9,3623,700,58,642
KERALA,DACOITY (SECTION 395 TO 398 IPC),487,365,8,385,459,5040,5499,10,5251,238,35,203
MADHYA PRADESH,DACOITY (SECTION 395 TO 398 IPC),45,725,0,43,727,2184,2911,4,2287,620,189,431
MAHARASHTRA,DACOITY (SECTION 395 TO 398 IPC),1692,4008,101,1846,3753,42824,46577,7,44008,2562,167,2395
MANIPUR,DACOITY (SECTION 395 TO 398 IPC),7,1,1,7,0,88,88,0,88,0,0,0
MEGHALAYA,DACOITY (SECTION 395 TO 398 IPC),492,74,13,500,53,1153,1206,0,1194,12,0,12
MIZORAM,DACOITY (SECTION 395 TO 398 IPC),0,1,0,1,0,6,6,0,6,0,0,0
NAGALAND,DACOITY (SECTION 395 TO 398 IPC),5,0,0,2,3,11,14,0,14,0,0,0
ODISHA,DACOITY (SECTION 395 TO 398 IPC),274,1830,0,269,1835,7853,9688,0,8593,1095,122,973
PUNJAB,DACOITY (SECTION 395 TO 398 IPC),84,146,0,104,126,357,483,0,366,117,29,88
RAJASTHAN,DACOITY (SECTION 395 TO 398 IPC),3,145,0,20,128,1561,1689,0,1499,190,74,116
SIKKIM,DACOITY (SECTION 395 TO 398 IPC),0,0,0,0,0,9,9,0,9,0,0,0
TAMIL NADU,DACOITY (SECTION 395 TO 398 IPC),361,533,7,358,529,2953,3482,0,3211,271,63,208
TRIPURA,DACOITY (SECTION 395 TO 398 IPC),21,39,14,7,39,64,103,0,93,10,0,10
UTTAR PRADESH,DACOITY (SECTION 395 TO 398 IPC),351,1941,554,353,1385,10296,11681,0,10433,1248,676,572
UTTARAKHAND,DACOITY (SECTION 395 TO 398 IPC),4,107,0,20,91,244,335,0,249,86,43,43
WEST BENGAL,DACOITY (SECTION 395 TO 398 IPC),1468,1086,77,1524,953,12597,13550,6,12792,752,81,671
TOTAL (STATES),DACOITY (SECTION 395 TO 398 IPC),11075,18177,1171,11965,16116,148221,164337,388,151637,12312,2263,10049
A & N ISLANDS,DACOITY (SECTION 395 TO 398 IPC),0,5,0,5,0,9,9,0,8,1,0,1
CHANDIGARH,DACOITY (SECTION 395 TO 398 IPC),1,18,0,0,19,34,53,0,38,15,0,15
D & N HAVELI,DACOITY (SECTION 395 TO 398 IPC),15,7,0,19,3,93,96,0,93,3,0,3
DAMAN & DIU,DACOITY (SECTION 395 TO 398 IPC),11,5,0,5,11,71,82,8,52,22,0,22
DELHI,DACOITY (SECTION 395 TO 398 IPC),118,166,1,101,182,1237,1419,0,1331,88,52,36
LAKSHADWEEP,DACOITY (SECTION 395 TO 398 IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,DACOITY (SECTION 395 TO 398 IPC),23,44,0,16,51,131,182,0,182,0,0,0
TOTAL (UTs),DACOITY (SECTION 395 TO 398 IPC),168,245,1,146,266,1575,1841,8,1704,129,52,77
TOTAL (ALL-INDIA),DACOITY (SECTION 395 TO 398 IPC),11243,18422,1172,12111,16382,149796,166178,396,153341,12441,2315,10126
ANDHRA PRADESH,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),15,12,0,7,20,133,153,0,108,45,0,45
ARUNACHAL PRADESH,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,23,23,0,23,0,0,0
ASSAM,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),110,14,0,113,11,367,378,0,317,61,3,58
BIHAR,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),301,315,2,233,381,2733,3114,0,2937,177,21,156
CHHATTISGARH,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,24,0,0,24,377,401,50,313,38,0,38
GOA,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,89,0,10,79,660,739,0,700,39,0,39
HARYANA,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),30,716,0,17,729,2198,2927,0,2291,636,182,454
HIMACHAL PRADESH,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),180,173,0,174,179,514,693,0,470,223,73,150
KARNATAKA,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),103,2503,71,151,2384,4214,6598,45,5234,1319,10,1309
KERALA,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),99,920,0,65,954,1389,2343,2,1827,514,236,278
MADHYA PRADESH,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),28,632,0,23,637,2208,2845,0,2371,474,122,352
MAHARASHTRA,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),533,1579,0,651,1461,12958,14419,1,13766,652,7,645
MANIPUR,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),280,324,199,403,2,6,8,0,6,2,2,0
MEGHALAYA,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),19,5,0,24,0,27,27,0,27,0,0,0
MIZORAM,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),29,641,0,93,577,1159,1736,0,1577,159,15,144
PUNJAB,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),568,902,9,735,726,1514,2240,0,1723,517,167,350
RAJASTHAN,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,364,0,14,350,1747,2097,0,1767,330,103,227
SIKKIM,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),44,126,0,83,87,274,361,0,296,65,30,35
TRIPURA,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),2,0,2,0,0,3,3,0,2,1,0,1
UTTAR PRADESH,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),28,392,1,23,396,1674,2070,0,1836,234,152,82
UTTARAKHAND,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,16,0,0,16,43,59,0,25,34,34,0
WEST BENGAL,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),3641,3139,119,3636,3025,23454,26479,0,25444,1035,30,1005
TOTAL (STATES),PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),6010,12886,403,6455,12038,57675,69713,98,63060,6555,1187,5368
A & N ISLANDS,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),10,45,0,11,44,42,86,0,76,10,0,10
D & N HAVELI,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,4,4,0,4,0,0,0
DELHI,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),603,65,3,599,66,2461,2527,0,2184,343,119,224
LAKSHADWEEP,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),35,93,0,38,90,93,183,0,175,8,0,8
TOTAL (UTs),PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),648,203,3,648,200,2600,2800,0,2439,361,119,242
TOTAL (ALL-INDIA),PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),6658,13089,406,7103,12238,60275,72513,98,65499,6916,1306,5610
ANDHRA PRADESH,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",503,1147,0,526,1124,3316,4440,5,3459,976,214,762
ARUNACHAL PRADESH,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",78,77,28,79,48,899,947,1,918,28,9,19
ASSAM,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",2054,950,463,2023,518,2295,2813,0,2316,497,126,371
BIHAR,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",2649,2275,57,2566,2301,26574,28875,0,27528,1347,125,1222
CHHATTISGARH,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",101,669,0,91,679,4633,5312,207,4432,673,230,443
GOA,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",52,25,2,33,42,224,266,0,248,18,6,12
GUJARAT,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",181,1768,4,169,1776,18134,19910,15,19351,544,34,510
HARYANA,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",171,1155,0,155,1171,2925,4096,0,3102,994,229,765
HIMACHAL PRADESH,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",17,23,0,3,37,230,267,0,238,29,3,26
JAMMU & KASHMIR,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",2,114,0,2,114,1830,1944,0,1766,178,10,168
JHARKHAND,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",620,668,0,664,624,2282,2906,0,2197,709,180,529
KARNATAKA,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",325,2275,66,290,2244,6441,8685,14,7432,1239,122,1117
KERALA,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",405,893,6,375,917,5465,6382,4,5719,659,217,442
