area_name,year,group_name,sub_group_name,auto_theft_coordinated_traced,auto_theft_recovered,auto_theft_stolen
Dadra & Nagar Haveli,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,3,8
Daman & Diu,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,11,24
Delhi,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4,754,5936
Goa,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4,67,213
Gujarat,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,637,1972,8976
Haryana,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,300,1618,5779
Himachal Pradesh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,23,48,153
Jammu & Kashmir,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4,78,430
Jharkhand,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,280,2156
Karnataka,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,313,1679,7552
Kerala,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,40,423,1329
Lakshadweep,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,1,1
Madhya Pradesh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1997,10088
Maharashtra,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,693,2803,13589
Manipur,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,10,5,232
Meghalaya,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,7,47
Mizoram,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,19,25
Nagaland,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,7,121
Odisha,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,582,1771
Puducherry,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,147,418
Punjab,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,426,463,1307
Rajasthan,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,250,1216,7837
Sikkim,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,1,1
Tamil Nadu,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2035,2672,3424
Tripura,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,15,54
Uttar Pradesh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,209,1702,8419
