area_name,year,group_name,sub_group_name,trial_of_violent_crimes_by_courts_by_confession,trial_of_violent_crimes_by_courts_by_trial,trial_of_violent_crimes_by_courts_total
Maharashtra,2010,TVC- Arson,10. Arson,0,607,607
Manipur,2010,TVC- Arson,10. Arson,0,0,0
Meghalaya,2010,TVC- Arson,10. Arson,0,5,5
Mizoram,2010,TVC- Arson,10. Arson,6,11,17
Nagaland,2010,TVC- Arson,10. Arson,1,2,3
Odisha,2010,TVC- Arson,10. Arson,0,301,301
Puducherry,2010,TVC- Arson,10. Arson,,1,1
Punjab,2010,TVC- Arson,10. Arson,,69,69
Rajasthan,2010,TVC- Arson,10. Arson,,212,212
Tamil Nadu,2010,TVC- Arson,10. Arson,0,222,222
Tripura,2010,TVC- Arson,10. Arson,,11,11
Uttar Pradesh,2010,TVC- Arson,10. Arson,,384,384
Uttarakhand,2010,TVC- Arson,10. Arson,,9,9
West Bengal,2010,TVC- Arson,10. Arson,2,82,84
Andaman & Nicobar Islands,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,,2,2
Andhra Pradesh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,1391,1391
Arunachal Pradesh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,3,3
Assam,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,8,176,184
Bihar,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,10,2302,2312
Chandigarh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,18,18
Chhattisgarh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,158,235,393
Dadra & Nagar Haveli,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,,1,1
Delhi,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,37,86,123
Goa,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,,23,23
Gujarat,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,3,257,260
Haryana,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,13,397,410
Himachal Pradesh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,73,73
Jammu & Kashmir,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,299,299
Jharkhand,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,10,590,600
Karnataka,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,1095,1095
Kerala,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,4,147,151
Madhya Pradesh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,,2583,2583
Maharashtra,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,16,792,808
Manipur,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,,2,2
Meghalaya,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,2,9,11
Mizoram,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,3,10,13
Nagaland,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,3,5,8
Odisha,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,802,802
Puducherry,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,,2,2
Punjab,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,,429,429
Rajasthan,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,1771,1771
Sikkim,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,1,2,3
Tamil Nadu,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,4,1750,1754
Tripura,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,,21,21
Uttar Pradesh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,2,5336,5338
Uttarakhand,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,3,183,186
West Bengal,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,1,329,330
Andaman & Nicobar Islands,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,2,2
Andhra Pradesh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,1401,1401
Arunachal Pradesh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,,3,3
Assam,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,3,148,151
Bihar,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,1520,1520
Chandigarh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,16,16
Chhattisgarh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,502,363,865
Dadra & Nagar Haveli,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,,5,5
Daman & Diu,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,2,2
Delhi,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,138,138
Goa,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,,23,23
Gujarat,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,3,399,402
Haryana,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,3,391,394
Himachal Pradesh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,52,52
Jammu & Kashmir,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,321,321
Jharkhand,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,,1754,1754
Karnataka,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,1124,1124
Kerala,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,,155,155
Madhya Pradesh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,2579,2579
Maharashtra,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,1191,1191
Manipur,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,4,4
Meghalaya,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,10,10
Mizoram,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,1,4,5
Nagaland,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,1,13,14
Odisha,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,757,757
Puducherry,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,,15,15
Punjab,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,576,576
Rajasthan,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,2313,2313
Sikkim,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,2,6,8
Tamil Nadu,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,51,1734,1785
Tripura,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,,25,25
Uttar Pradesh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,6372,6372
Uttarakhand,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,203,203
West Bengal,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,305,305
Andaman & Nicobar Islands,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,1,1
Andhra Pradesh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,1322,1322
Arunachal Pradesh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,1,1
Assam,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,5,174,179
Bihar,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,2236,2236
Chandigarh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,17,17
Chhattisgarh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,457,457
Dadra & Nagar Haveli,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,,4,4
Daman & Diu,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,2,2
Delhi,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,,191,191
Goa,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,,27,27
Gujarat,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,2,588,590
Haryana,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,3,483,486
Himachal Pradesh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,66,66
Jammu & Kashmir,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,1,199,200
Jharkhand,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,982,982
Karnataka,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,1377,1377
Kerala,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,198,198
Madhya Pradesh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,,2924,2924
Maharashtra,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,20,1202,1222
Manipur,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,,2,2
Meghalaya,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,10,10
Mizoram,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,6,13,19
Nagaland,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,10,10
Odisha,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0,1117,1117
