area_name,year,group_name,sub_group_name,police_injured_by_criminals,police_injured_by_riotous_mobs,police_injured_in_accidents,police_injured_in_dacoity_operationsother_raids,police_injured_in_terroristsextremists_operations,police_injured_on_border_duties,police_injured_total_policemen,police_killed_by_criminals,police_killed_by_riotous_mobs,police_killed_in_accidents,police_killed_in_dacoity_operationsother_raids,police_killed_in_terroristsextremists_operations,police_killed_on_border_duties,police_killed_total_policemen
Delhi,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,2,2,3,0,0,0,7,0,0,0,0,0,0,0
Goa,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,4,1,0,0,0,5,0,0,11,0,0,0,11
Haryana,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,5,0,0,0,5
Himachal Pradesh,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,3,0,0,0,4,0,7,0,0,0,0,4,0,4
Jharkhand,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,2,4,3,0,0,0,9,3,0,1,0,0,0,4
Kerala,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,9,6,1,1,0,0,17,0,0,1,0,0,0,1
Lakshadweep,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,10,0,6,1,0,0,17,0,0,2,0,0,0,2
Maharashtra,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,5,2,0,2,0,9,0,0,12,0,1,0,13
Manipur,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Meghalaya,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,2,2,0,1,0,0,5,0,0,0,0,0,0,0
Puducherry,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,1,2,0,0,0,3,3,0,3,2,0,0,8
Rajasthan,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,5,3,0,0,0,0,8,1,1,2,0,0,0,4
Sikkim,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,1,1,3,0,0,0,5,0,0,7,0,0,0,7
Uttarakhand,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,10,24,8,7,0,0,49,1,0,1,0,0,0,2
Andaman & Nicobar Islands,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,1,5,0,0,0,6,0,1,2,0,0,0,3
Arunachal Pradesh,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
