state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
MEGHALAYA,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",77,31,2,94,12,214,226,1,208,17,13,4
MIZORAM,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",25,214,0,75,164,76,240,0,101,139,132,7
NAGALAND,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",52,64,19,22,75,93,168,0,55,113,88,25
ODISHA,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",13,351,0,25,339,1507,1846,0,1689,157,35,122
PUNJAB,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",3826,11715,10,7772,7759,18485,26244,2,19950,6292,4524,1768
RAJASTHAN,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",96,1529,0,88,1537,8013,9550,11,8558,981,576,405
SIKKIM,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",0,3,0,0,3,32,35,0,26,9,4,5
TAMIL NADU,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",1520,1682,0,1613,1589,4225,5814,1,3883,1930,924,1006
TRIPURA,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",51,52,8,16,79,186,265,0,41,224,7,217
UTTAR PRADESH,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",590,6863,19,656,6778,46338,53116,0,45929,7187,5132,2055
UTTARAKHAND,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",58,329,0,93,294,1264,1558,1,1108,449,383,66
WEST BENGAL,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",1740,1175,39,1871,1005,4553,5558,2,5155,401,21,380
TOTAL (STATES),"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",11020,35982,172,15601,31229,134071,165300,184,133312,31804,16966,14838
A & N ISLANDS,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",42,8,0,37,13,99,112,0,112,0,0,0
CHANDIGARH,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",86,75,1,51,109,329,438,0,358,80,64,16
D & N HAVELI,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",0,0,0,0,0,1,1,0,1,0,0,0
DAMAN & DIU,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",0,0,0,0,0,0,0,0,0,0,0,0
DELHI,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",404,962,2,287,1077,7663,8740,0,7657,1083,838,245
LAKSHADWEEP,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",0,20,0,14,6,16,22,0,22,0,0,0
PUDUCHERRY,"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",11,8,0,4,15,13,28,0,28,0,0,0
TOTAL (UTs),"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",543,1073,3,393,1220,8121,9341,0,8178,1163,902,261
